contrast-0;energy-0;homogenity-0;correlation-0;dissimilarity-0;ASM-0;contrast-45;energy-45;homogenity-45;correlation-45;dissimilarity-45;ASM-45;target
763.683.389;0.05925478;0.40444537;0.9588083;201.117.057;0.00351113;1.766.642.431;0.04776224;0.2900807;0.90477872;201.117.057;0.00351113;2
748.656.633;0.06356336;0.4036507;0.9513716;199.555.184;0.0040403;1.668.316.909;0.05176384;0.29192607;0.89161241;199.555.184;0.0040403;2
796.003.344;0.06004386;0.3988354;0.95337487;205.075.808;0.00360527;1.778.060.648;0.04893741;0.28855978;0.89587142;205.075.808;0.00360527;2
828.993.311;0.05722679;0.39384806;0.95850163;209.176.143;0.00327491;1.907.568.148;0.04613808;0.27995788;0.90432677;209.176.143;0.00327491;2
687.430.323;0.06410449;0.4204844;0.96002583;189.570.792;0.00410939;1.556.531.806;0.05224781;0.30743913;0.90935386;189.570.792;0.00410939;2
762.620.959;0.06355094;0.40015975;0.94692967;201.849.498;0.00403872;1.705.768.392;0.05167634;0.28802623;0.88136495;201.849.498;0.00403872;2
792.157.191;0.06257889;0.40526273;0.94980823;202.362.319;0.00391612;1.683.874.901;0.05122017;0.29843605;0.89331951;202.362.319;0.00391612;2
768.489.409;0.06279895;0.40115572;0.95133439;202.241.918;0.00394371;1.796.450.823;0.05064566;0.28552486;0.88623931;202.241.918;0.00394371;2
765.063.545;0.06137598;0.40595442;0.95345347;200.483.835;0.00376701;1.718.630.664;0.04979183;0.29302361;0.89541021;200.483.835;0.00376701;2
696.421.405;0.06253127;0.41578376;0.95816272;191.670.011;0.00391016;1.586.000.157;0.05074649;0.30255091;0.90478224;191.670.011;0.00391016;2
848.710.145;0.06087134;0.39425644;0.95011196;209.392.419;0.00370532;1.768.752.027;0.0499665;0.29114931;0.89534566;209.392.419;0.00370532;1
740.667.781;0.07038353;0.41426623;0.93986457;195.053.512;0.00495384;1.529.532.108;0.05816177;0.30804071;0.87573477;195.053.512;0.00495384;1
648.604.236;0.07123551;0.43302493;0.94860351;181.975.474;0.0050745;138.708.963;0.05842786;0.32031741;0.89010049;181.975.474;0.0050745;1
831.360.089;0.06095722;0.39595519;0.95084605;208.316.611;0.00371578;1.769.132.336;0.05017854;0.29145764;0.89539048;208.316.611;0.00371578;1
882.443.701;0.05966193;0.39158708;0.95067283;21.374.359;0.00355955;1.854.226.463;0.04893812;0.28772379;0.89638402;21.374.359;0.00355955;1
737.853.958;0.06746861;0.41123743;0.94601032;19.661.427;0.00455201;1.600.784.108;0.05528866;0.30117384;0.88290846;19.661.427;0.00455201;1
693.433.668;0.0681328;0.42108774;0.95072283;189.154.961;0.00464208;1.474.684.847;0.05586489;0.30947946;0.89523886;189.154.961;0.00464208;1
652.560.758;0.07102117;0.42428256;0.94683559;18.519.175;0.00504401;1.393.339.001;0.05890071;0.31763179;0.88632658;18.519.175;0.00504401;1
75.148.495;0.06551978;0.40979292;0.94784396;197.694.537;0.00429284;1.656.211.899;0.05327153;0.29693118;0.88510533;197.694.537;0.00429284;1
766.146.042;0.06623695;0.4078344;0.94525834;199.523.969;0.00438733;1.657.507.187;0.05425148;0.29873935;0.8814917;199.523.969;0.00438733;1
534.143.813;0.07258968;0.44951927;0.95632901;167.824.972;0.00526926;130.499.547;0.05759074;0.3166746;0.89328927;167.824.972;0.00526926;2
485.298.774;0.0760437;0.46511853;0.95778248;159.071.349;0.00578264;1.189.850.225;0.0607566;0.33556771;0.89646854;159.071.349;0.00578264;2
434.014.493;0.08406442;0.47945986;0.95031962;150.594.203;0.00706683;1.045.503.965;0.06749712;0.34819668;0.88028228;150.594.203;0.00706683;2
482.878.484;0.07818513;0.46715979;0.95346289;158.365.663;0.00611291;1.095.573.875;0.06346099;0.34584059;0.89442081;158.365.663;0.00611291;2
518.247.492;0.074699;0.45339727;0.95472869;16.535.786;0.00557994;1.185.589.647;0.06060045;0.33232214;0.8963715;16.535.786;0.00557994;2
447.853.958;0.07946762;0.47782885;0.95723196;152.493.868;0.0063151;1.128.019.821;0.06281517;0.33646103;0.89238837;152.493.868;0.0063151;2
396.257.525;0.09006431;0.49485829;0.94923272;143.122.631;0.00811158;923.150.748;0.0732505;0.36967261;0.88161533;143.122.631;0.00811158;2
383.807.135;0.08737179;0.498125;0.95682122;141.086.957;0.00763383;904.209.125;0.07097043;0.37263192;0.89823984;141.086.957;0.00763383;2
394.982.163;0.08785325;0.49699455;0.95437387;142.404.682;0.00771819;903.243.812;0.0721792;0.37500074;0.8956368;142.404.682;0.00771819;2
472.348.941;0.07990367;0.47450578;0.95336786;155.474.916;0.0063846;1.035.024.217;0.06498739;0.35276611;0.89777875;155.474.916;0.0063846;2
603.516.165;0.06308742;0.45069282;0.97610185;173.571.906;0.00398002;1.228.298.341;0.05268996;0.34718772;0.95132254;173.571.906;0.00398002;1
689.874.025;0.06235284;0.45036253;0.97154352;180.837.235;0.00388788;1.402.316.529;0.05201515;0.34590959;0.94213835;180.837.235;0.00388788;1
810.774.805;0.05230391;0.41943934;0.97551767;199.668.896;0.0027357;1.688.449.794;0.04312503;0.31548895;0.94899051;199.668.896;0.0027357;1
627.403.567;0.06599164;0.45826888;0.97445479;173.383.501;0.0043549;1.310.275.053;0.05519437;0.35133613;0.94664657;173.383.501;0.0043549;1
659.850.613;0.06239525;0.43894948;0.97006509;18.206.689;0.00389317;1.326.345.343;0.05267984;0.34182906;0.9398992;18.206.689;0.00389317;1
559.875.139;0.06845116;0.47318916;0.96864411;163.792.642;0.00468556;1.142.270.221;0.05714836;0.36902356;0.93595614;163.792.642;0.00468556;1
829.327.759;0.05481199;0.41580314;0.97644986;200.904.125;0.00300435;1.642.772.452;0.04592762;0.31894276;0.95331971;200.904.125;0.00300435;1
1.092.209.588;0.05621393;0.39530762;0.96600125;224.512.821;0.00316001;1.997.890.404;0.04705057;0.29825095;0.93778333;224.512.821;0.00316001;1
320.911.929;0.08365488;0.55641466;0.97867986;120.891.862;0.00699814;633.268.084;0.07083871;0.4518293;0.95782294;120.891.862;0.00699814;1
971.801.561;0.05133912;0.40296796;0.97011367;216.240.803;0.00263571;1.765.323.654;0.04307135;0.308176;0.94568482;216.240.803;0.00263571;1
586.091.416;0.0668833;0.45086673;0.96311105;172.733.556;0.00447338;1.262.138.007;0.05401571;0.32870513;0.92058887;172.733.556;0.00447338;3
553.590.858;0.06725974;0.45718758;0.96668892;168.369.008;0.00452387;1.195.002.293;0.054619;0.33672919;0.92811089;168.369.008;0.00452387;3
568.830.546;0.06688525;0.45580701;0.96595108;170.128.205;0.00447364;1.253.002.763;0.05435134;0.33490956;0.92500305;170.128.205;0.00447364;3
405.995.541;0.07792213;0.50627049;0.97394237;14.154.961;0.00607186;929.333.005;0.06380138;0.3823362;0.94041554;14.154.961;0.00607186;3
954.195.095;0.05902701;0.4043442;0.95852679;211.956.522;0.00348419;1.885.654.523;0.04818549;0.29499519;0.91812373;211.956.522;0.00348419;3
521.318.841;0.07073261;0.45296084;0.96102548;166.123.746;0.0050031;1.167.351.596;0.05713681;0.32878308;0.91274559;166.123.746;0.0050031;3
524.790.412;0.06853675;0.46253813;0.96689039;164.023.411;0.00469729;1.200.621.917;0.05577023;0.34171416;0.92429605;164.023.411;0.00469729;3
529.896.321;0.0664412;0.45587711;0.96868405;166.023.411;0.00441443;1.269.565.217;0.05312054;0.32824831;0.92496503;166.023.411;0.00441443;3
475.884.058;0.07389055;0.47848411;0.96700863;155.114.827;0.00545981;1.084.455.431;0.06001233;0.35690159;0.92487079;155.114.827;0.00545981;3
611.494.983;0.06488005;0.43461086;0.96127752;179.760.312;0.00420942;1.378.015.906;0.05260509;0.31576825;0.91266816;179.760.312;0.00420942;3
814.823.857;0.05632606;0.39886936;0.96041713;206.897.436;0.00317263;1.744.009.575;0.04602058;0.28872779;0.91521909;206.897.436;0.00317263;3
850.375.697;0.05800111;0.39559316;0.95468799;211.225.195;0.00336413;1.846.162.795;0.04753393;0.28872887;0.90160801;211.225.195;0.00336413;3
939.966.555;0.05725058;0.37083836;0.94592455;225.166.109;0.00327763;1.998.507.847;0.04713077;0.27322473;0.8850443;225.166.109;0.00327763;3
883.070.234;0.05606256;0.38124123;0.95374706;217.498.328;0.00314301;1.988.416.237;0.04560718;0.27315589;0.89585271;217.498.328;0.00314301;3
71.854.738;0.0615341;0.40970987;0.95297363;195.207.358;0.00378645;1.420.940.482;0.05140202;0.31212706;0.90699041;195.207.358;0.00378645;3
745.661.093;0.05901654;0.40724193;0.95862059;198.350.056;0.00348295;1.637.753.493;0.04797724;0.29728983;0.90910099;198.350.056;0.00348295;3
756.507.246;0.05938691;0.40611082;0.95760046;199.816.054;0.00352681;1.684.362.591;0.04846554;0.29491807;0.9055325;199.816.054;0.00352681;3
820.462.653;0.05769183;0.39365633;0.95637567;208.489.409;0.00332835;1.813.563.607;0.04705578;0.2844562;0.90357724;208.489.409;0.00332835;3
855.344.482;0.0571447;0.38396482;0.95369157;214.671.126;0.00326552;187.550.363;0.04680022;0.28153216;0.89843861;214.671.126;0.00326552;3
753.200.669;0.05762396;0.41146581;0.96191533;198.268.673;0.00332052;1.607.799.689;0.04706283;0.30106107;0.91874387;198.268.673;0.00332052;3
